id,incipit,cantus_id,mode,finalis,differentia,siglum,position,folio,sequence,marginalia,cao_concordances,feast_id,genre_id,office_id,source_id,melody_id,drupal_path,full_text,full_text_manuscript,volpiano,notes
chant_004827,Accedentes discipuli sancti Joannis Baptistae,006014,1,,,D-KA Aug. LX,3.4,140r,3.0,,,feast_0360,genre_r,office_m,source_414,,http://cantus.uwaterloo.ca/chant/617893/,Accedentes discipuli sancti Joannis Baptistae tulerunt corpus ejus et sepelierunt illud,Accedentes discipuli sancti iohannis baptiste tulerunt corpus eius | et sepelierunt illud,1--c--d--fd-hkJ--h---h--gfg--ijhg--hj-h---fe-fE--f---f--ghg-fe--fg---ghgfe-fgfe--ddfe-f--ed---d--fgh--g---g--gh---h--gfe-fgf-gh7---3---c---d--fe--f--gh--fe---dc-d-fef--ed---4,
chant_005434,Accessit ad pedes Jesu peccatrix,006016,5,,,A-KN 1012,,022r,26.0,,,feast_1115,genre_r,office_v,source_166,,http://cantus.uwaterloo.ca/chant/285182/,Accessit ad pedes Jesu peccatrix mulier Maria et osculata est et lavit lacrimis et tersit capillis et unxit unguento,Accessit ad pedes iesu peccatrix mulier MARIA et osculata est et lavit lacrimis et tersit capillis et unxit ungento,1---f--hgf-hjkl7--k---hK---khgk--lK---lhl--l---fkk--kjjhgkk--k---lkkjh--hgf--ghjkJ---jhgf--yefjf--f---f---fkl--k7--nlk-hjkl--hk---k---k---f--k---kjhk--kklk--k---k---nmk-lK--k---kjh--hjk-lK--k---kjhk---kL--k---kO7--o-mn-onmlk-nm-gk-lhgk-lnm-onm-nlk-hk-lh-jkf-hk-mlkh-fhk-llK--f---4,
chant_008650,Adduxi vos per desertum quadraginta,006030,7,,,F-Pn lat. 12044,16,084r,5.0,,,feast_0445,genre_r,office_m,source_014,,http://cantus.uwaterloo.ca/chant/400308/,Adduxi vos per desertum quadraginta annis ego dominus non sunt attrita vestimenta vestra manna de caelo plui vobis et obliti estis me dicit dominus,Adduxi vos per desertum quadraginta annis ego dominus non sunt attrita vestimenta vestra | manna de caelo plui vobis et obliti estis me dicit dominus,1---gh--h--hgf-ghgh---hg---g---ghk--kj-klk-lmL--l---l--l--l--jl---k-lmk-kj--g-hkg-hg-gf---fh--kk-jklkjh-jkjh---g--ghjhgh--hg---gh---g7---g--ghkjhk--hg---lnmn--mk--l--nmn---ml--lmll-jkj---3---hL--l---l---k--h---l--k---jg-hk-hg-hgfg--gf---h---gf--g--hk---kjh--hjkjh-jk---k-jklkj-hjgf7---gh--h-fghgfg---g--ghjhgh--hg---4,
chant_016315,Afflicti pro peccatis nostris cottidie,006060,8,,,A-Wn 1799**,3.2,031v,2.0,,,feast_0500,genre_r,office_m,source_531,,http://cantus.uwaterloo.ca/chant/543786/,Afflicti pro peccatis nostris cottidie cum lacrimis exspectemus finem nostrum dolor cordis nostri ascendat ad te domine ut eruas nos a malis quae innovantur in nobis,Afflicti pro peccatis nostris cotidie cum lacrimis expectemus finem nostrum dolor cordis nostri ascendat ad te domine | Ut eruas nos a malis que innovantur in nobis,1---d--fgh--g---g---g--g--ghj---h--hg-hkg-hg-gf---hf--ghg--h--hk---hG---hgf-gh7--g--g---g--g--gh--g---g--ghkjh-jkjh---ghjhgh--ghjh---fh--klk---kH--kl---lj-klhj--hg---h--hkjg--kk---k7---lkj-kjhg---h--hg-hgfg--gf---3---fghkg---gh--g--g---gf---hk---kj-klkl--lk---k---k--k--kj-kjh-jk--k---jklkjh-jkjh---ghjhgh7--hg---4,
chant_029249,Amo Christum in cujus thalamum,006084,7,,,CDN-Hsmu M2149.L4,1.3,158v,4.0,,,feast_0033,genre_r,office_m,source_297,,http://cantus.uwaterloo.ca/chant/272057/,Amo Christum in cujus thalamum introivi cujus mater virgo est cujus pater feminam nescit cujus mihi organa modulatis vocibus cantant quem cum amavero casta sum cum tetigero munda sum cum accepero virgo sum,Amo christum in cuius thalamum introivi cuius mater virgo est cuius pater feminam nescit cuis michi organa modulatis vocibus cantant | Quem cum amavero casta sum cum tetigero munda sum cum accepero virgo sum,1---g--g---ghkjhj--hg77---g---gkj--k---l--khkk--k---k--jklkjh-jkjh--ghjhgh--hg---g--gl7---l--lk---lnmno--lmnmlkl---lk---kj--kl---kkj--hg---gh--g--ghkjh-jkjh7---ghjhgh--hg---g--gl---l--lk---lnmno--lmnmlkl--klml---k--l--no7--n---n--nm--klnmn---lml--l---3---l---l---lm--m--lmlkl--lk7---lm--jkjhgh---hg---g---h--k--kj--h---klml--j-lkk---kj---j7---k--lmlmnm--lk--klkj-kjhg-hg---jghk-jkmlk-kjh--kh-jkjhgh---hg7---4,
chant_031873,Angelus domini locutus est mulieribus,006095,5,,,CDN-Hsmu M2149.L4,,124v,2.0,,,feast_0472,genre_r,office_v,source_297,,http://cantus.uwaterloo.ca/chant/271655/,Angelus domini locutus est mulieribus dicens quem quaeritis an Jesum quaeritis jam surrexit venite et videte alleluia alleluia,Angelus domini locutus est mulieribus dicens quem queritis an ihesum queritis iam surrexit Venite et videte alleluya alleluya,1---h--f--h---hklkh-kk-klm--kj-klkl--lk---k--k--hk-kg-hgfg---gf7---f--h--kl--h--kl---nl-mnmlkl--lk---kj---hk-kg--hg-gfg--gf---hijh7---g--hjkjhg-hjhg---f--fghgfg--gf---h---h--gjhg-hg--gf7---3---h--k--kl---k---h--jh--g---kl--k--kj-jhj--jh---h--gjhg--hg-gfg--gf7---4,
chant_032992,Animam meam dilectam tradidi in,006101,8,,,I-Ac 693,2.3,114v,3.0,,,feast_0752,genre_r,office_m,source_379,,http://cantus.uwaterloo.ca/chant/171637/,Animam meam dilectam tradidi in manus iniquorum et facta est mihi hereditas mea sicut leo in silvam dedit contra me voces adversarius dicens congregamini et properate ad devorandum illum posuerunt me in deserto solitudinis et luxit super me omnis terra quia non est inventus qui me agnosceret et faceret bene,ANimam meam dilectam tradidi in manus iniquorum et facta est michi hereditas mea sicut leo in silvam dedit contra me voces adversarius dicens congregamini et properate ad devorandum illum posuerunt me in deserto solitudinis et luxit super me omnis terra | Quia non est inventus qui me agnosceret et faceret bene,1---f--gh--hg---h--gf---gh--gfg--gfed---fg--efede--ded---d---fe--f---gh--fe--def-de7--ed---f---h--kj---hg---fghg-fg--gf---f--h--kj--hgh---fghg-fg--gf---hjkl--k7---kjhgf--gf---ghj---klk-kJ--jh---fg--gh---d--d---fghg---h--gf---g--f--ef--fdfgf-ef7--fe---g--gh---g--g--hjh-ghjk--k--jklk-jkjh-ghg---g---j--lk--jkhj--hg---g---h--k7--kjk-kJ--hjk---klk--kj---kj--kl--l--lk---lk-jkjh-ghg---k---klk--kj-hj--gf---h--khjkjh7--g--ghjh--hg---g---ghjk--jk---h--g---f---h--khjkjh---ghjh-gh--hg---3---kj--k7---l---k---j--k--h---k-k---h---k--hjkjh--ghjh--hg---g---ghjhjk--hg--fg7---ghjhj--hg---4,
chant_038999,Ascendens in altum alleluia captivam,006121,4,,,CH-E 611,2.1,109v,10.0,,,feast_0091,genre_r,office_m,source_564,,http://cantus.uwaterloo.ca/chant/230324/,Ascendens in altum alleluia captivam duxit captivitatem dedit dona hominibus alleluia alleluia,Ascendens in altum alleluia captivam duxit captivitatem | dedit dona hominibus alleluia alleluia,1---ff--ff--df---f---ghg-gF--f7---fghG--hg--gf-fe-eD--fd-ef---d--dfg--gfg---dfgfe-f--fe---efgfe--g--ghghgf--ef-gef--ed---3---h--h7---h--hghijh---ef--g--g--hghijh---fffE--ef--ghF--g---fgh--hgf-g-efhgf-ghg--egef--fe7---4,
chant_040576,Aspice domine de sede sancta,006126,1,,,A-KN 1018,2,218r,2.0,,,feast_0330,genre_r,office_m,source_265,,http://cantus.uwaterloo.ca/chant/294639/,Aspice domine de sede sancta tua et cogita de nobis inclina deus meus aurem tuam et audi aperi oculos tuos et vide tribulationem nostram,Aspice domine de sede sancta tua et cogita de nobis inclina deus meus aurem tuam et audi aperi oculos tuos | et vide tribulacionem nostram,1---dc--f--ghg---gh--hg--gh---hf---g--gf---fghG--hg---fdefef--ed7---d---dg--f--fe---cd---defef--ed---d--f--g---gh--g---gfg--fge-ffd---fgF7--f---gh--h---hgh---fefg-hgF--gf---h--g--gf---gh--g--gf---gh--hf---3---h7---ghfed--dfdc-dfd---dfd--dc--d--fe--fgfe-fgh--hg-hfgfe---defef--ed---4,
chant_040643,Aspice domine quia facta est,006127,1,,,D-KA Aug. LX,4,205r,6.0,,,feast_0330,genre_r,office_h,source_414,,http://cantus.uwaterloo.ca/chant/619295/,Aspice domine quia facta est desolata civitas plena divitiis sedet in tristitia domina gentium non est qui consoletur eam nisi tu deus,Aspice domine quia facta est desolata civitas plena divitiis sedet in tristicia domina gentium | non est qui consoletur eam nisi tu deus,1---f--fe--cdfe---fd-efed--cdfede--fd---c--d---f--fe-gf---fgfe-fed-fd---d--f--f--dfe---f--df--dc---dfec--ef7---gf-fe--d--defede--fd---ffg--f---ffe---fg--fg--ffede--fd---fe--f--ghijhg---f--fg-gf--f---3---fghg-hk---h---h---g--f--fe--g---fgfefedcd--dc7---d--f---ed-efd-efgf-fe-cdefed---ddfef--ed---4,
